username,created_at,lng,lat,text,,,,
DickyChap, Wed Jan 27 00:48:24 +0000 2021,120.961522,-24.412169, Another unintended consequence of Brexit is the UK misses out on any possibility of this stimulus funding. ,,,,
dariocazzani, Wed Jan 27 00:49:57 +0000 2021,-117.661853,34.119646, #tesla #model3 smashed under a tree. It can be repaired but the body shop has no idea how long it’ll take to get th… https://t.co/OiDTrkWdZL ,,,,
TeslaOwnersEBay, Wed Jan 27 00:51:16 +0000 2021,-122.122837,37.89474, @teslaownersSV @Tesla @elonmusk https://t.co/yazPeN649b ,,,,
Sailordude9980, Wed Jan 27 00:56:09 +0000 2021,-117.104989,32.810012, I hate driving.  I hated it so much that I joined the #Navy21 years later, I still hate driving.  When I reach th… https://t.co/l34171zptO ,,,
GA_ALEXANDER, Wed Jan 27 01:01:31 +0000 2021,-80.121061,25.966223, ll Gas 💨💨💨 No Breaks💪🏾💪🏾💪🏾.Just when they thought they were going to count me out.- #GrenadaRecords#Tesla… https://t.co/MftbzBCAft ,,,,
willhandel, Wed Jan 27 01:02:15 +0000 2021,-105.242687,40.023982, Hey @elonmusk can we, ( @NamasteSolar ), put solar panels ontop of the @Tesla charging station here in town? While… https://t.co/WRpHLCETJH ,,
GA_ALEXANDER, Wed Jan 27 01:05:12 +0000 2021,-80.121061,25.966223, All Gas 💨💨💨 No Breaks💪🏾💪🏾💪🏾.Just when they thought they were going to count me out.😎💪🏾- #GrenadaRecords#Tesla… https://t.co/QoxAfm10RO ,,,,
BLKMDL3, Wed Jan 27 01:13:44 +0000 2021,-118.411907,34.020789, Since I bought #FSD on my Model 3 I know understand the value of it. Such a great feature and can’t wait to see wha… https://t.co/oUekurtILp ,,,,
akidesir, Wed Jan 27 01:13:57 +0000 2021,-79.27257,43.629311, @WholeMarsBlog I need the FSD price to be higher before I will buy another Tesla ,,,,
Mrlipsticks, Wed Jan 27 01:15:43 +0000 2021,-122.081442,37.396853," Proud of this #madeinitaly press. 💖""Tesla Fremont Factory Flyover Reveals Massive Giga Press In Operation"" https://t.co/7HkIpBfoI7 ",,,,
biancalopez____, Wed Jan 27 01:16:25 +0000 2021,-118.325145,34.18216, Officially a stock owner ☺️💞 -Tesla ,,,,
FatBoiRico, Wed Jan 27 01:18:34 +0000 2021,-88.161555,30.683649, Nie this man Percy a real gangsta ,,,,
Stephan26697027, Wed Jan 27 01:20:31 +0000 2021,-95.834958,41.247487, @CBSThisMorning @elonmusk @SpaceX @Tesla @mayemusk What a great story and what an inspiration from an amazing lady! ,,,,
GA_ALEXANDER, Wed Jan 27 01:26:07 +0000 2021,-80.149173,26.150368, All Gas 💨💨💨 No Breaks💪🏾💪🏾💪🏾.Just when they thought they were going 2 count me out.😎💪🏾- #GrenadaRecords#Tesla… https://t.co/LW6dSnNVXE ,,,,
travis06259178, Wed Jan 27 01:27:40 +0000 2021,-86.936483,40.384717, @ReutersScience Imagine that. It just so happens that pelosi made a big investment in Tesla recently. ,,,,
iCLARKSUPERMAN7, Wed Jan 27 01:32:46 +0000 2021,-89.922029,35.133521, We need have @Tesla truck sign by the runners for @StJude donate 2 at the hospital and 1 at @NASA @Space_Station… https://t.co/AkLrR4fziz ,,,,
